uniprot	degree	degree_centrality	betweenness	closeness	eigenvector	cc
Q8WYJ6	10	0.00077893752921	3.58823085842e-05	0.254579139874	0.001406106705	0.0714285714286
P0CW24	1	7.7893752921e-05	0.0	0.233862144607	0.000856015828879	0.0
Q8WXG6	7	0.000545256270447	0.000179360538452	0.266321636639	0.00237618267107	0.047619047619
P0CW20	2	0.000155787505842	1.98446178293e-07	0.229206903431	0.000470448864965	0.0
Q6B0I6	5	0.000389468764605	1.56714496847e-05	0.267922935735	0.00295304525489	0.0
Q02108	4	0.000311575011684	7.4976685176e-05	0.253577411082	0.0015775559892	0.166666666667
Q9BUN8	5	0.000389468764605	5.99166665742e-06	0.242422979509	0.000559053539937	0.2
P21359	7	0.000545256270447	2.17197953315e-05	0.277544786094	0.00513294160304	0.1
P22914	6	0.000467362517526	1.18328520889e-05	0.252988691892	0.00179055193712	0.333333333333
P16233	2	0.000155787505842	0.000150532696305	0.237980547606	0.000533808420975	0.0
P16234	16	0.00124630004674	0.000528341061152	0.289475565636	0.0105133252198	0.158333333333
Q96KN3	1	7.7893752921e-05	0.0	0.242104710601	0.000663439683741	0.0
P09884	4	0.000311575011684	5.25752446773e-06	0.23162967829	0.000321012341209	0.166666666667
Q96KN1	12	0.000934725035052	2.18647145464e-05	0.26435401764	0.00291490964587	0.0454545454545
Q2TAL5	1	7.7893752921e-05	0.0	0.26659410662	0.00332591231997	0.0
Q96KN7	25	0.00194734382303	0.000186360616855	0.279486201778	0.00975042911336	0.0
Q16775	5	0.000389468764605	0.000110067388755	0.240193255487	0.00066404580388	0.0
Q16777	1	7.7893752921e-05	0.0	0.19960707102	2.67951902043e-05	0.0
Q16778	4	0.000311575011684	8.52891034048e-06	0.227087833848	0.000227830155362	0.0
Q9P2N4	1	7.7893752921e-05	0.0	0.214879160709	9.20824561551e-05	0.0
Q96KN9	1	7.7893752921e-05	0.0	0.253872799361	0.00158684426	0.0
Q96KN8	3	0.000233681258763	0.000171819874225	0.248226391556	0.00232480306432	0.0
P12034	4	0.000311575011684	3.62273333783e-06	0.240438975023	0.000674028280015	0.0
Q2TAL8	17	0.00132419379966	0.000400318738549	0.290535041856	0.00882548385228	0.00952380952381
Q7Z570	2	0.000155787505842	1.4846454307e-05	0.256661475351	0.00157686579346	0.0
Q8WWK9	1	7.7893752921e-05	0.0	0.227182521926	0.000328424519064	0.0
Q9ULW2	1	7.7893752921e-05	0.0	0.169599357941	1.22102721403e-06	0.0
Q06055	2	0.000155787505842	5.1200483086e-06	0.232781236709	0.000298601673115	0.0
P10768	9	0.000701043776289	3.41701478078e-05	0.287696913927	0.0121061120984	0.142857142857
Q9Y2C4	2	0.000155787505842	0.0	0.0	3.90669309562e-40	0.0
P51959	13	0.00101261878797	0.000115532432462	0.280224528857	0.0113497042864	0.0128205128205
Q9Y2C2	1	7.7893752921e-05	0.0	0.245350613486	0.000995119800895	0.0
P06737	5	0.000389468764605	2.59656045379e-06	0.233944302396	0.000567379257592	0.0
Q9BW04	1	7.7893752921e-05	0.0	0.189313984172	1.50304666083e-05	0.0
Q9Y2C9	5	0.000389468764605	1.11756629049e-06	0.237626711771	0.000569082053362	0.0
O14602	3	0.000233681258763	2.10311828126e-05	0.261704821227	0.00227326965894	0.0
Q96E22	1	7.7893752921e-05	0.0	7.7893752921e-05	3.90669309562e-40	0.0
O14604	4	0.000311575011684	3.19080043822e-05	0.266505196475	0.00298325673888	0.0
Q8N8D1	6	0.000467362517526	8.47012870871e-06	0.252823273541	0.00133793945171	0.0666666666667
O14607	1	7.7893752921e-05	0.0	0.227587989326	0.000305260827664	0.0
Q8TDN2	3	0.000233681258763	4.80761424733e-07	0.186814896776	9.89761303154e-06	0.0
Q8TDN1	2	0.000155787505842	0.0	0.208118833611	7.79857896078e-05	1.0
P29597	17	0.00132419379966	0.00026178931625	0.294503924273	0.0105629738721	0.0380952380952
Q8TDN4	3	0.000233681258763	9.30823274685e-07	0.236422174001	0.000507791164068	0.0
P50542	28	0.00218102508179	0.000714248199717	0.26959210611	0.0030937542988	0.0184615384615
P55060	9	0.000701043776289	8.1753611598e-05	0.280100112676	0.00450097148622	0.0
Q9NRP7	8	0.000623150023368	2.49215969736e-05	0.247616183727	0.000854513533793	0.0714285714286
P55064	10	0.00077893752921	0.000302888400119	0.272987410823	0.00864115805451	0.0
P50549	4	0.000311575011684	3.43139070075e-07	0.230303460754	0.000337966465097	0.0
P49683	1	7.7893752921e-05	0.0	0.2233223576	0.000187083191558	0.0
Q86YV0	2	0.000155787505842	0.0	0.242271085412	0.000794860479007	1.0
P51946	23	0.00179155631718	0.000392249644737	0.290394268523	0.0106997294522	0.0380952380952
Q9BVT8	4	0.000311575011684	3.85963428862e-07	0.228490358785	0.000396507893487	0.5
P51948	31	0.00241470634055	0.000391238257718	0.294800890847	0.0116397498872	0.0322580645161
O75352	7	0.000545256270447	1.93876855131e-05	0.25111776385	0.0011747277535	0.0
O14545	3	0.000233681258763	9.76978797483e-06	0.264756907316	0.00358712590477	0.0
O14544	15	0.00116840629382	0.000158734927142	0.30148911469	0.0160946674675	0.190476190476
O14543	25	0.00194734382303	0.000726500949016	0.302523956939	0.016413328382	0.0566666666667
P37802	16	0.00124630004674	8.73536402967e-05	0.287717630922	0.0160454540843	0.0916666666667
Q9BYE7	21	0.00163576881134	0.000201330627636	0.288423788393	0.00959742446807	0.0904761904762
Q9BYE9	4	0.000311575011684	4.25701897609e-05	0.227773951959	0.000247425141298	0.5
Q8NBW4	6	0.000467362517526	3.40993556745e-05	0.233474955626	0.00037736287209	0.2
P47712	7	0.000545256270447	3.41574294955e-05	0.268541182495	0.0027781633242	0.047619047619
O14548	1	7.7893752921e-05	0.0	0.235891766479	0.000551784690023	0.0
P52948	12	0.000934725035052	7.2093478089e-05	0.272987410823	0.00400931856127	0.111111111111
P52945	1	7.7893752921e-05	0.0	0.229888268768	0.000252469871698	0.0
Q8IYB0	1	7.7893752921e-05	0.0	0.218247773603	0.00010357159107	0.0
P52943	12	0.000934725035052	0.000178267279817	0.291255114126	0.00887603802149	0.0151515151515
Q96GQ7	5	0.000389468764605	1.94158489276e-05	0.263401327748	0.00271884404011	0.1
Q96GQ5	1	7.7893752921e-05	0.0	0.226791368926	0.000200828535102	0.0
Q96LW4	1	7.7893752921e-05	0.0	0.228203255946	0.00028990665459	0.0
P49810	23	0.00179155631718	0.000403463439752	0.297752048634	0.00944970690806	0.0948616600791
P49815	16	0.00124630004674	0.000346269017329	0.304437157998	0.0132921695031	0.0333333333333
Q9Y680	7	0.000545256270447	4.83585112343e-05	0.260782443256	0.00184984348831	0.0
Q86UY5	2	0.000155787505842	0.0	0.257250868588	0.00386872099589	1.0
Q86UY6	1	7.7893752921e-05	0.0	0.228324968986	0.000272035329343	0.0
Q9Y689	5	0.000389468764605	3.52927521008e-07	0.234856464239	0.000513086828875	0.0
Q8IVH8	9	0.000701043776289	3.56744769861e-05	0.280211427212	0.00706428707089	0.0555555555556
P14867	1	7.7893752921e-05	0.0	0.242011835931	0.000609648730731	0.0
P14866	24	0.0018694500701	0.000255100825461	0.292406123529	0.0100724236541	0.025974025974
Q9C0B7	3	0.000233681258763	7.12778425977e-06	0.246399659215	0.000886377444281	0.333333333333
Q9C0B6	1	7.7893752921e-05	0.0	0.243729244039	0.00120148936873	0.0
Q00597	41	0.00319364386976	0.00067440811559	0.301443622921	0.0159348876569	0.0243902439024
P14868	10	0.00077893752921	2.0627689775e-05	0.283411458406	0.00828683246055	0.0714285714286
P20749	16	0.00124630004674	0.000189168571951	0.292370462506	0.00895915570191	0.075
Q93091	1	7.7893752921e-05	0.0	0.206199862756	4.90718680793e-05	0.0
Q93096	9	0.000701043776289	0.000122144160262	0.269883465165	0.00375216960199	0.142857142857
Q93097	1	7.7893752921e-05	0.0	0.218057198869	0.000117528954914	0.0
P05093	13	0.00101261878797	0.000469678578818	0.279349419046	0.00690154754576	0.0512820512821
P05090	3	0.000233681258763	1.50196633714e-05	0.241344264121	0.000562736651044	0.0
Q93099	6	0.000467362517526	2.60576876203e-05	0.251613262702	0.00125000899637	0.0
P13073	4	0.000311575011684	4.31994597343e-05	0.266368982708	0.00360147726401	0.0
P09466	9	0.000701043776289	6.22357833457e-05	0.269567854582	0.00335887989225	0.0
P59190	1	7.7893752921e-05	0.0	0.211919738019	9.86312924763e-05	0.0
Q04900	4	0.000311575011684	3.94831317877e-05	0.270773566049	0.00507995832566	0.0
Q6UXG3	1	7.7893752921e-05	0.0	0.233688889748	0.00150631174322	0.0
P06681	1	7.7893752921e-05	0.0	0.164247307059	5.45309268531e-07	0.0
Q9BZM3	1	7.7893752921e-05	0.0	0.24928467311	0.00165683095771	0.0
Q9BZM1	9	0.000701043776289	0.000214996753874	0.268733840504	0.00283325394806	0.0
Q6ZT98	1	7.7893752921e-05	0.0	0.26659410662	0.00332591231997	0.0
Q9BZM5	1	7.7893752921e-05	0.0	0.222749651041	0.00024225120125	0.0
Q9BZM4	1	7.7893752921e-05	0.0	0.162907952294	4.69938010357e-07	0.0
Q9Y534	2	0.000155787505842	1.10815173602e-06	0.256826453159	0.00212112453532	0.0
O75815	74	0.00576413771616	0.00111086723564	0.309212026876	0.027854290193	0.00704225352113
O75817	4	0.000311575011684	4.42051456863e-05	0.279766699074	0.00521772732528	0.0
P57682	8	0.000623150023368	4.57591600094e-05	0.273317316259	0.00484834391063	0.0714285714286
Q5DX21	2	0.000155787505842	0.0	0.0	3.90669309562e-40	0.0
Q9UJ14	7	0.000545256270447	8.78237429231e-05	0.253138288179	0.00115768993257	0.0
Q6PK04	3	0.000233681258763	3.80458308261e-06	0.243873048806	0.000697976447154	0.0
Q15109	14	0.00109051254089	9.13676308817e-05	0.275655510575	0.00613587719181	0.0757575757576
Q7Z4T8	1	7.7893752921e-05	0.0	0.230020614109	0.000258374129864	0.0
